id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
339453928,2026-02-14,Honey-tailed Striped Sweat Bee,Agapostemon melliventris,33.2977,-116.309988333,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",research,True,False,False
339453192,2026-02-14,Honey-tailed Striped Sweat Bee,Agapostemon melliventris,33.2977,-116.309988333,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",research,True,False,False
339444756,2025-08-03,Western Honey Bee,Apis mellifera,34.2985770624,-118.452692987,"Astoria St, Los Angeles, CA, US",research,False,True,False
339392389,2026-02-16,Western Honey Bee,Apis mellifera,32.9446033333,-116.299036667,"San Diego County, CA, USA",research,False,True,False
339389550,2026-02-19,Western Honey Bee,Apis mellifera,33.5739216667,-116.077963833,"Sixth St, Mecca, CA, US",research,False,True,False
339384836,2026-02-03,Western Honey Bee,Apis mellifera,34.0320122693,-118.699049045,"Eastern Malibu, Malibu, CA, USA",research,False,True,False
339383776,2026-02-15,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.5427189,-117.7853568,"Laguna Beach, CA, USA",research,True,False,False
339381285,2026-02-19,Western Honey Bee,Apis mellifera,33.734154863,-116.386488331,"College of the Desert, Palm Desert, CA, US",research,False,True,False
339380739,2026-02-19,Western Honey Bee,Apis mellifera,34.6823666667,-117.360916667,"Oro Grande, CA, US",research,False,True,False
339374621,2025-07-09,Western Honey Bee,Apis mellifera,33.764225,-117.832711667,"Ponderosa St, Santa Ana, CA, US",research,False,True,False
339372419,2026-02-17,Western Honey Bee,Apis mellifera,32.6351728479,-117.020397034,"San Diego County, US-CA, US",research,False,True,False
339372333,2026-02-17,Western Honey Bee,Apis mellifera,32.7702629627,-117.144547215,"San Diego County, US-CA, US",research,False,True,False
339372259,2026-02-17,Western Honey Bee,Apis mellifera,32.6345223614,-117.039181118,"San Diego County, US-CA, US",research,False,True,False
339372228,2026-02-17,Western Honey Bee,Apis mellifera,32.7576470859,-117.031082641,"San Diego County, US-CA, US",research,False,True,False
339357937,2026-02-17,All-dark Miner,Andrena perimelas,32.6721383333,-117.244841667,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
339357780,2026-02-17,All-dark Miner,Andrena perimelas,32.6721116667,-117.244796667,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
339357558,2026-02-17,All-dark Miner,Andrena perimelas,32.6721166667,-117.244766667,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
339357311,2026-02-19,Western Honey Bee,Apis mellifera,33.8282894997,-116.5211994,"Palm Springs, CA 92262, USA",research,False,True,False
339356900,2026-01-25,All-dark Miner,Andrena perimelas,32.672755,-117.240866667,"Bayside Trail, San Diego, CA, US",research,False,False,False
339355301,2026-02-19,Western Honey Bee,Apis mellifera,33.7029702725,-116.215079762,"Chiriaco Summit, CA 92201, USA",research,False,True,False
339355261,2026-02-09,Western Honey Bee,Apis mellifera,34.1464737281,-117.573004737,"Zimmerman Hall, Rancho Cucamonga, CA 91737, USA",research,False,True,False
339351726,2026-02-18,Western Honey Bee,Apis mellifera,32.7893366667,-117.231771667,"San Diego, CA, US",research,False,True,False
339351196,2026-02-18,Western Honey Bee,Apis mellifera,32.789345,-117.23182,"San Diego, CA, US",research,False,True,False
339347801,2026-02-19,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.8217366667,-117.0774305,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339346857,2026-02-19,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.8216333333,-117.0774,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339336036,2026-02-17,All-dark Miner,Andrena perimelas,32.6748916667,-117.245545,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
339330626,2026-02-16,Western Honey Bee,Apis mellifera,33.6191861117,-116.273322222,"Riverside, California, United States",research,False,True,False
339330447,2026-02-19,All-dark Miner,Andrena perimelas,32.6724073,-117.2408823,"Cabrillo National Monument, San Diego, CA 92106, USA",research,False,False,False
339321160,2026-02-19,Western Honey Bee,Apis mellifera,33.671875,-116.408333333,"Santa Rosa and San Jacinto Mountains National Monument, Palm Desert, CA, US",research,False,True,False
339270722,2026-02-16,Western Honey Bee,Apis mellifera,33.9767466829,-116.529183347,"Riverside County, CA, USA",research,False,True,False
